ID,Culture_code,Culture_code_Arc,Culture_name,Continent,Subsistence_type,Calendar_name,Inclusion_status,Reason_for_exclusion,Sources
AW37,AW37,NA,Kol,Asia,Intensive Agriculturalists,Kol calendar,Excluded,Fully missing data on our six specific calendar units,"Griffiths, W. G. (1946). The Kol tribe of central India (Royal Asiatic Society of Bengal Monograph Series, Vol. 2). Royal Asiatic Society of Bengal. https://ehrafworldcultures.yale.edu/document?id=aw37-001"
AW42,AW42,NA,Santal,Asia,Intensive Agriculturalists,Santal calendar,Excluded,Partially missing data on some calendar units,"Culshaw, W. J. (1949). Tribal heritage: A study of the Santals (Missionary Research Series No. 15). Lutterworth Press. https://ehrafworldcultures.yale.edu/cultures/aw42/documents/005"
AW50,AW50,NA,Badaga,Asia,Intensive Agriculturalists,Badaga calendar,Excluded,Partially missing data on some calendar units,"Hockings, P. (2001). Mortuary ritual of the Badagas of southern India. Fieldiana: Anthropology, (32), 1-72. https://ehrafworldcultures.yale.edu/document?id=aw50-010"
AW60,AW60,NA,Toda,Asia,Pastoralists,Toda calendar,Excluded,Partially missing data on some calendar units,"Rivers, W. H. R. (1906). The Todas. Macmillan. https://ehrafworldcultures.yale.edu/document?id=aw60-001"
AW69,AW69,NA,Bengali,Asia,Intensive Agriculturalists,Bengali calendar,Excluded,Partially missing data on some calendar units,"Ali, S. A. (2012). Bangabda. In S. Islam & A. A. Jamal (Eds.), Banglapedia: National encyclopedia of Bangladesh (2nd ed.). Asiatic Society of Bangladesh. 

Klass, M. (1978). From field to factory: Community structure and industrialization in West Bengal. Institute for the Study of Human Issues. https://ehrafworldcultures.yale.edu/document?id=aw69-007 

Ostor, A. (1980). The play of the gods: Locality, ideology, structure, and time in the festivals of a Bengali town. University of Chicago Press. https://ehrafworldcultures.yale.edu/document?id=aw69-004"
AX04,AX04,NA,Sinhalese,Asia,Intensive Agriculturalists,Sinhalese calendar,Excluded,Fully missing data on our six specific calendar units,"Leach, E. R. (1961). Pul Eliya, a village in Ceylon: A study of land tenure and kinship. Cambridge University Press. https://ehrafworldcultures.yale.edu/document?id=ax04-001"
AX05,AX05,NA,Vedda,Asia,Hunter-gatherers,Vedda calendar,Excluded,Fully missing data on our six specific calendar units,"Bailey, J. (1863). An account of the wild tribes of the Veddahs of Ceylon: Their habits, customs, and superstitions. Transactions of the Ethnological Society of London, 2, 278-320. https://ehrafworldcultures.yale.edu/document?id=ax05-002"
AZ02,AZ02,NA,Andamans,Asia,Hunter-gatherers,Andamanese calendar,Included,Not excluded,"Cipriani, L. (1966). The Andaman Islanders (D. T. Cox, Ed. & Trans.). Frederick A. Praeger. https://ehrafworldcultures.yale.edu/document?id=az02-011

Man, E. H. (1932). On the aboriginal inhabitants of the Andaman Islands. Royal Anthropological Institute of Great Britain and Ireland. https://ehrafworldcultures.yale.edu/document?id=az02-002

Radcliffe-Brown, A. R. (1922). The Andaman Islanders: A study in social anthropology. Cambridge University Press. https://ehrafworldcultures.yale.edu/document?id=az02-001"
AZ07,AZ07,NA,Nicobarese,Asia,Other Subsistence Combinations,Nicobarese calendar,Excluded,Partially missing data on some calendar units,"Man, E. H. (1932). The Nicobar Islands and their people (D. Prain & A. F. Man, Eds.). Royal Anthropological Institute of Great Britain and Ireland. https://ehrafworldcultures.yale.edu/document?id=az07-001 

Whitehead, G. (1924). In the Nicobar Islands: The record of a lengthy sojourn in islands of sunshine & palms amongst a people primitive in their habits & beliefs & simple in their manner of living, with a description of their customs & religious ceremonies & an account of their superstitions, traditions, & folklore. Seeley, Service. https://ehrafworldcultures.yale.edu/document?id=az07-002"
EF06,EF06,NA,Serbs,Europe,Intensive Agriculturalists,Serb calendar,Excluded,Partially missing data on some calendar units,"Spangler, M. A. (1979). Time and social change in a Yugoslav city [Doctoral dissertation]. Xerox University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ef06-027"
EF09,EF09,NA,Bosnian Muslims,Europe,Commercial Economy,Bosnian Muslim calendar,Excluded,Fully missing data on our six specific calendar units,"Donia, R. J. (1986). Islam under the double eagle: The Muslims of Bosnia and Herzegovina, 1878-1914 (East European Monographs No. 78). Columbia University Press. https://ehrafworldcultures.yale.edu/document?id=ef09-007"
EH01_A,EH01,NA,Athenians,Europe,Intensive Agriculturalists,Attic (lunisolar festival) calendar,Included,Not excluded,"Hannah, R. (2005). Greek and Roman calendars: Constructions of time in the classical world. Duckworth.

Stern, S. (2012). Calendars in antiquity: Empires, states, and societies. Oxford University Press."
EH01_B,EH01,NA,Macedonians,Europe,Intensive Agriculturalists,Ancienct Macedonian calendar,Excluded,Partially missing data on some calendar units,"McLean, B. H. (2002). An introduction to Greek epigraphy of the Hellenistic and Roman periods from Alexander the Great down to the reign of Constantine (323 B.C.-A.D. 337). University of Michigan Press."
EI09_A,EI09,NA,Romans,Europe,Intensive Agriculturalists,Julian calendar,Included,Not excluded,"Carcopino, J. (1940). Daily life in ancient Rome: The people and the city at the height of the empire (H. T. Rowell, Ed.; E. O. Lorimer, Trans.). Yale University Press. https://ehrafworldcultures.yale.edu/document?id=ei09-001

Columella, L. J. M. (1960). On agriculture: Vol. 1. Res rustica I–IV (H. B. Ash, Trans.; Loeb Classical Library). Harvard University Press; William Heinemann. https://ehrafworldcultures.yale.edu/document?id=ei09-006

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press."
EI09_B,EI09,NA,Romans,Europe,Intensive Agriculturalists,Pre-Republican Roman calendar,Excluded,Fully missing data on our six specific calendar units,"Rupke, J. (2011). The Roman calendar from Numa to Constantine: Time, history, and the Fasti (D. M. B. Richardson, Trans.). Wiley-Blackwell. (Original work published 1995)"
EP04,EP04,NA,Saami,Europe,Pastoralists,Saami calendar,Excluded,Fully missing data on our six specific calendar units,"Itkonen, T. I. (1948). The Lapps in Finland up to 1945: Vol. 2 (O. Guemati & E. Perez-Roman, Trans.). Werner Soderstrom Osakeyhtio. https://ehrafworldcultures.yale.edu/document?id=ep04-017 

Paine, R. (1957). Coast Lapp society I: A study of neighbourhood in Revsbotn Fjord (Tromso Museums Skrifter, Vol. 4). Tromso Museum. https://ehrafworldcultures.yale.edu/document?id=ep04-008"
EQ01,EQ01,NA,Icelanders,Europe,Commercial economy,Old Icelandic calendar,Included,Not excluded,"Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Early Germanic calendars. (2026, January 8). In Wikipedia. https://en.wikipedia.org/wiki/Early_Germanic_calendars"
ER06_A,ER06,NA,Celts,Europe,Agro-Pastoralists,Celtic Coligny (later) calendar,Included,Not excluded,"Aldhouse-Green, M. (2010). Caesar's Druids: Story of an ancient priesthood. Yale University Press.

Celtic calendar. (2025, July 17). In Wikipedia. https://en.wikipedia.org/wiki/Celtic_calendar

Coligny calendar. (2025, July 17). In Wikipedia. https://en.wikipedia.org/wiki/Coligny_calendar

Loth, J. (1904). L'année celtique: D'après les textes irlandais, gallois, brétons et le calendrier de Coligny. Revue Celtique, 25, 113–162."
ER06_B,ER06,NA,Celts,Europe,Agro-Pastoralists,Celtic Coligny (older) calendar,Excluded,Partially missing data on some calendar units,"Aldhouse-Green, M. (2010). Caesar's Druids: Story of an ancient priesthood. Yale University Press. 

Celtic calendar. (2025, July 17). In Wikipedia. https://en.wikipedia.org/wiki/Celtic_calendar 

Coligny calendar. (2025, July 17). In Wikipedia. https://en.wikipedia.org/wiki/Coligny_calendar 

Loth, J. (1904). L'annee celtique: D'apres les textes irlandais, gallois, bretons et le calendrier de Coligny. Revue Celtique, 25, 113-162."
ES10,ES10,NA,Highland Scots,Europe,Other Subsistence Combinations,Highland Scots calendar,Excluded,Fully missing data on our six specific calendar units,"MacKinnon, K. (1977). Language, education and social processes in a Gaelic community (Routledge Direct Editions). Routledge & Kegan Paul. https://ehrafworldcultures.yale.edu/document?id=es10-008"
FA08,FA08,NA,Bambara,Africa,Agro-Pastoralists,Bambara calendar,Excluded,Partially missing data on some calendar units,"Paques, V. (1954). The Bambara (T. Turner, Trans.; Monographies Ethnologiques Africaines). Presses Universitaires de France. https://ehrafworldcultures.yale.edu/document?id=fa08-003"
FA16_A,FA16,NA,Dogon,Africa,Intensive Agriculturalists,Dogon solar calendar,Included,Not excluded,"Griaule, M., & Dieterlen, G. (1986). The pale fox (S. C. Infantino, Trans.). Continuum Foundation. https://ehrafworldcultures.yale.edu/document?id=fa16-025

Paulme, D. (1940). Social organization of the Dogon (French Sudan) (F. Schütze, Trans.). Éditions Domat-Montchrestien, F. Loviton. https://ehrafworldcultures.yale.edu/document?id=fa16-002

Theodosiou, E. (2005, June 19). The calendars of the Dogons [Conference presentation]. 1st International Symposium ""Science and Art,"" Athens, Greece."
FA16_B,FA16,NA,Dogon,Africa,Intensive Agriculturalists,Dogon lunar calendar,Excluded,Partially missing data on some calendar units,"Griaule, M., & Dieterlen, G. (1986). The pale fox (S. C. Infantino, Trans.). Continuum Foundation. https://ehrafworldcultures.yale.edu/document?id=fa16-025 

Paulme, D. (1940). Social organization of the Dogon (French Sudan) (F. Schutze, Trans.). Editions Domat-Montchrestien, F. Loviton. https://ehrafworldcultures.yale.edu/document?id=fa16-002 

Theodosiou, E. (2005, June 19). The calendars of the Dogons [Conference presentation]. 1st International Symposium 'Science and Art,' Athens, Greece."
FA18,FA18,NA,Fon,Africa,Horticulturalists,Fon calendar,Excluded,Partially missing data on some calendar units,"Herskovits, M. J. (1967). Dahomey, an ancient West African kingdom: Vol. 1. Northwestern University Press. https://ehrafworldcultures.yale.edu/cultures/fa18/documents/001"
FA28,FA28,NA,Mossi,Africa,Intensive Agriculturalists,Mossi calendar,Excluded,Partially missing data on some calendar units,"Hammond, P. B. (1959). Economic change and Mossi acculturation. In Continuity and change in African cultures (pp. 238-256). University of Chicago Press. https://ehrafworldcultures.yale.edu/document?id=fa28-005 

Skinner, E. P. (1962). Trade and market among the Mossi people. In Markets in Africa (pp. 237-278). Northwestern University Press. https://ehrafworldcultures.yale.edu/document?id=fa28-012"
